Iteration No.;Iterate time (ms);Comment
0;9.2655;
1;0.7036;
2;0.2738;
3;0.7284;
4;0.1174;
5;0.1063;
6;0.4858;
7;0.603;
8;0.1046;
9;0.0972;
10;0.1123;
11;0.1194;
12;0.7738;reset
13;0.1176;
14;0.1125;
15;0.1325;
16;0.1069;
17;0.0938;
18;0.0827;
19;0.1498;
20;0.1018;
21;0.1021;
22;0.0841;
23;0.0791;
24;0.0853;
25;0.2024;reset
26;0.1237;
27;0.0802;
28;0.1072;
29;0.1103;
30;0.1325;
31;0.0932;
32;0.1274;
33;0.1748;
34;0.0714;
35;0.2138;
36;0.1032;
37;0.0918;
38;0.1853;reset
39;0.1558;
40;0.085;
41;0.1006;
42;0.0947;
43;0.0992;
44;0.0862;
45;0.1717;
46;0.1004;
47;0.1197;
48;0.1319;
49;0.1004;
50;0.0952;
51;0.367;reset
